Company Name,Symbol,Yahoo Finance Codes
IDFC First Bank Ltd.,IDFCFIRSTB,IDFCFIRSTB.NS
ITC Ltd.,ITC,ITC.NS
Indiabulls Housing Finance Ltd.,IBULHSGFIN,IBULHSGFIN.NS
Indiabulls Ventures Ltd.,IBVENTURES,IBVENTURES.NS
Indian Hotels Co. Ltd.,INDHOTEL,INDHOTEL.NS
Indian Oil Corporation Ltd.,IOC,IOC.NS
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,IRCTC.NS
Indraprastha Gas Ltd.,IGL,IGL.NS
IndusInd Bank Ltd.,INDUSINDBK,INDUSINDBK.NS
Info Edge (India) Ltd.,NAUKRI,NAUKRI.NS
Infosys Ltd.,INFY,INFY.NS
InterGlobe Aviation Ltd.,INDIGO,INDIGO.NS
Ipca Laboratories Ltd.,IPCALAB,IPCALAB.NS
JSW Energy Ltd.,JSWENERGY,JSWENERGY.NS
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL.NS
Jindal Steel & Power Ltd.,JINDALSTEL,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD,JUBLFOOD.NS
Jubilant Life Sciences Ltd.,JUBILANT,JUBILANT.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAKBANK.NS
L&T Finance Holdings Ltd.,L&TFH,L&TFH.NS
L&T Technology Services Ltd.,LTTS,LTTS.NS
LIC Housing Finance Ltd.,LICHSGFIN,LICHSGFIN.NS
Larsen & Toubro Infotech Ltd.,LTI,LTI.NS
Larsen & Toubro Ltd.,LT,LT.NS
Lupin Ltd.,LUPIN,LUPIN.NS
MRF Ltd.,MRF,MRF.NS
Mahanagar Gas Ltd.,MGL,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M,M&M.NS
Manappuram Finance Ltd.,MANAPPURAM,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL,MRPL.NS
Marico Ltd.,MARICO,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI,MARUTI.NS
Max Financial Services Ltd.,MFSL,MFSL.NS
MindTree Ltd.,MINDTREE,MINDTREE.NS
Motherson Sumi Systems Ltd.,MOTHERSUMI,MOTHERSUMI.NS
MphasiS Ltd.,MPHASIS,MPHASIS.NS
Muthoot Finance Ltd.,MUTHOOTFIN,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM,NATCOPHARM.NS
NHPC Ltd.,NHPC,NHPC.NS
NMDC Ltd.,NMDC,NMDC.NS
NTPC Ltd.,NTPC,NTPC.NS
National Aluminium Co. Ltd.,NATIONALUM,NATIONALUM.NS
Nestle India Ltd.,NESTLEIND,NESTLEIND.NS
Nippon Life India Asset Management Ltd.,NAM-INDIA,NAM-INDIA.NS
Oberoi Realty Ltd.,OBEROIRLTY,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,ONGC,ONGC.NS
Oil India Ltd.,OIL,OIL.NS
Oracle Financial Services Software Ltd.,OFSS,OFSS.NS
PI Industries Ltd.,PIIND,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING,PNBHOUSING.NS
Page Industries Ltd.,PAGEIND,PAGEIND.NS
